id;nazwa miasta;nazwa województwa
1;Bolesławiec;DOLNOSLASKIE
2;Nowogrodziec;DOLNOSLASKIE
3;Bielawa;DOLNOSLASKIE
4;Dzierżoniów;DOLNOSLASKIE
5;Pieszyce;DOLNOSLASKIE
6;Piława Górna;DOLNOSLASKIE
7;Niemcza;DOLNOSLASKIE
8;Głogów;DOLNOSLASKIE
9;Góra;DOLNOSLASKIE
10;Wąsosz;DOLNOSLASKIE
11;Jawor;DOLNOSLASKIE
12;Bolków;DOLNOSLASKIE
13;Karpacz;DOLNOSLASKIE
14;Kowary;DOLNOSLASKIE
15;Piechowice;DOLNOSLASKIE
16;Szklarska Poręba;DOLNOSLASKIE
17;Kamienna Góra;DOLNOSLASKIE
18;Lubawka;DOLNOSLASKIE
19;Duszniki-Zdrój;DOLNOSLASKIE
20;Kłodzko;DOLNOSLASKIE
21;Kudowa-Zdrój;DOLNOSLASKIE
22;Nowa Ruda;DOLNOSLASKIE
23;Polanica-Zdrój;DOLNOSLASKIE
24;Bystrzyca Kłodzka;DOLNOSLASKIE
25;Lądek-Zdrój;DOLNOSLASKIE
26;Międzylesie;DOLNOSLASKIE
27;Radków;DOLNOSLASKIE
28;Stronie Śląskie;DOLNOSLASKIE
29;Szczytna;DOLNOSLASKIE
30;Chojnów;DOLNOSLASKIE
31;Prochowice;DOLNOSLASKIE
32;Lubań;DOLNOSLASKIE
33;Świeradów-Zdrój;DOLNOSLASKIE
34;Leśna;DOLNOSLASKIE
35;Olszyna;DOLNOSLASKIE
36;Lubin;DOLNOSLASKIE
37;Ścinawa;DOLNOSLASKIE
38;Gryfów Śląski;DOLNOSLASKIE
39;Lubomierz;DOLNOSLASKIE
40;Lwówek Śląski;DOLNOSLASKIE
41;Mirsk;DOLNOSLASKIE
42;Wleń;DOLNOSLASKIE
43;Milicz;DOLNOSLASKIE
44;Oleśnica;DOLNOSLASKIE
45;Bierutów;DOLNOSLASKIE
46;Międzybórz;DOLNOSLASKIE
47;Syców;DOLNOSLASKIE
48;Twardogóra;DOLNOSLASKIE
49;Oława;DOLNOSLASKIE
50;Jelcz-Laskowice;DOLNOSLASKIE
51;Chocianów;DOLNOSLASKIE
52;Polkowice;DOLNOSLASKIE
53;Przemków;DOLNOSLASKIE
54;Strzelin;DOLNOSLASKIE
55;Wiązów;DOLNOSLASKIE
56;Środa Śląska;DOLNOSLASKIE
57;Świdnica;DOLNOSLASKIE
58;Świebodzice;DOLNOSLASKIE
59;Jaworzyna Śląska;DOLNOSLASKIE
60;Strzegom;DOLNOSLASKIE
61;Żarów;DOLNOSLASKIE
62;Oborniki Śląskie;DOLNOSLASKIE
63;Prusice;DOLNOSLASKIE
64;Trzebnica;DOLNOSLASKIE
65;Żmigród;DOLNOSLASKIE
66;Boguszów-Gorce;DOLNOSLASKIE
